rank,card_name,advertised_offer,sign_up_bonus,spending_requirement,annual_fee,estimated_first_year_value_usd,point_value_assumption,notable_credits_or_notes,source,source_url,source_checked
1,AmEx Business Platinum,AmEx Business Platinum 300k Offer,"300,000 Membership Rewards (MR) Points","$20,000 in 3 months","$895 annual fee, NOT waived for the first year",4405,1.6 cents/point,$500 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
2,Chase Sapphire Reserve for Business,Chase Sapphire Reserve for Business 200k Offer,"200,000 Ultimate Rewards (UR) Points","$30,000 in 3 months","$795 annual fee, NOT waived for the first year",3005,1.6 cents/point,$600 travel credit (easy $300) plus ($300 estimated value) of various credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
3,AmEx Business Gold,AmEx Business Gold 200k Offer,"200,000 Membership Rewards (MR) Points","$15,000 in 3 months","$295 annual fee, NOT waived for the first year",2905,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
4,AmEx Platinum,AmEx Platinum 175k Offer,"175,000 Membership Rewards (MR) Points","$8,000 in 6 months","$895 annual fee, NOT waived for the first year",2805,1.6 cents/point,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
5,AmEx Platinum for Morgan Stanley,AmEx Platinum for Morgan Stanley 150k Offer,"150,000 Membership Rewards (MR) Points","$12,000 in 6 months","$895 annual fee, NOT waived for the first year",2405,1.6 cents/point,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
6,AmEx Platinum for Schwab,AmEx Platinum for Schwab 150k Offer,"150,000 Membership Rewards (MR) Points","$12,000 in 6 months","$895 annual fee, NOT waived for the first year",2405,1.6 cents/point,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
7,Capital One Venture X Business,Capital One Venture X Business 150k Offer,"150,000 Capital One (C1) Points","$30,000 in 3 months","$395 annual fee, NOT waived for the first year",2305,1.6 cents/point,$300 Travel Credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
8,Capital One Spark Cash Plus,Capital One Spark Cash Plus 200k Offer,"2,000","$30,000 in 3 months","$150 annual fee, NOT waived for the first year",1850,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
9,AmEx Graphite,AmEx Graphite 200k Offer,"2,000","$50,000 in 6 months","$295 annual fee, NOT waived for the first year",1705,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
10,Chase Ink Cash,Chase Ink Cash 100k Offer,"100,000 Ultimate Rewards (UR) Points","$8,000 in 3 months",$0 annual fee,1600,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
