card_name,issuer,is_business,network,bonus_amount,bonus_currency,point_value_cpp,bonus_value_usd,min_spend_usd,spend_window_months,annual_fee_usd,annual_fee_waived_y1,first_year_credits_usd,estimated_first_year_value_usd,notes,source,source_url,source_checked
AmEx Business Platinum,American Express,true,Amex,300000,Amex MR,1.6,4800,20000,3,895,false,500,4405,$500 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Chase Sapphire Reserve for Business,Chase,true,Visa,200000,Chase UR,1.6,3200,30000,3,795,false,600,3005,$600 travel credit (easy $300) plus ($300 estimated value) of various credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
AmEx Business Gold,American Express,true,Amex,200000,Amex MR,1.6,3200,15000,3,295,false,0,2905,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
AmEx Platinum,American Express,false,Amex,175000,Amex MR,1.6,2800,8000,6,895,false,900,2805,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
AmEx Platinum for Morgan Stanley,American Express,false,Amex,150000,Amex MR,1.6,2400,12000,6,895,false,900,2405,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
AmEx Platinum for Schwab,American Express,false,Amex,150000,Amex MR,1.6,2400,12000,6,895,false,900,2405,$900 (estimated value) of various credits once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Capital One Venture X Business,Capital One,true,Visa,150000,Capital One miles,,1500,30000,3,395,false,300,2305,$300 Travel Credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Capital One Spark Cash Plus,Capital One,true,Mastercard,2000,USD,,2000,30000,3,150,false,0,1850,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
AmEx Graphite,American Express,false,Amex,2000,Amex MR,1.6,32,50000,6,295,false,0,1705,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Chase Ink Cash,Chase,true,Visa,100000,Chase UR,,1500,8000,3,0,false,0,1600,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Chase Ink Unlimited,Chase,true,Visa,100000,Chase UR,1.6,1600,8000,3,0,false,0,1600,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Chase United Business,Chase,true,Visa,110000,United miles,1.4,1540,5000,3,150,true,0,1540,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Capital One Venture Business,Capital One,true,Visa,100000,Capital One miles,,1000,10000,3,95,false,0,1505,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Chase Ink Preferred,Chase,true,Visa,100000,Chase UR,1.6,1600,8000,3,95,false,0,1505,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Chase Sapphire Preferred,Chase,false,Visa,100000,Chase UR,1.6,1600,5000,3,95,false,0,1505,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
AmEx Gold,American Express,false,Amex,100000,Amex MR,1.6,1600,6000,6,325,false,144,1419,"$144 (estimated value) of various credits ($120 face value for dining credit, $120 face value for Uber credit, and actual value is estimated by 60% of face value) once in the first year.",US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Chase Sapphire Reserve,Chase,false,Visa,100000,Chase UR,1.6,1600,6000,3,795,false,600,1405,$600 travel credit (easy $300) plus ($300 estimated value) of various credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Bank of America Alaska Atmos Ascent,Bank of America,false,Visa,85000,Alaska miles,1.6,1360,4500,3,95,false,0,1265,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Bank of America Alaska Atmos Business,Bank of America,true,Visa,85000,Alaska miles,1.6,1360,5500,3,95,false,0,1265,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Bank of America Alaska Atmos Summit,Bank of America,false,Visa,100000,Alaska miles,1.6,1600,6000,3,395,false,0,1205,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Citi Strata Elite,Citi,false,Mastercard,75000,Citi TY,1.6,1200,6000,3,595,false,300,1205,"$300 (estimated value) of hotel credit plus Splurge credit ($300+$200 face value, and actual value is estimated by 60% of face value) twice in the first year.",US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Citi AAdvantage Platinum Select,Citi,false,Mastercard,75000,American miles,1.5,1125,3500,4,99,true,0,1125,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Capital One Venture,Capital One,false,Visa,75000,Capital One miles,,750,4000,3,95,false,0,1105,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Capital One Venture X,Capital One,false,Visa,75000,Capital One miles,,750,4000,3,395,false,300,1105,$300 Travel Credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
AmEx Delta SkyMiles Gold,American Express,false,Amex,90000,Amex MR,1.6,1440,5000,6,150,true,0,1080,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
AmEx Delta SkyMiles Gold Business,American Express,true,Amex,90000,Amex MR,1.6,1440,6000,6,150,true,0,1080,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Chase Southwest Airlines Premier,Chase,false,Visa,85000,Southwest miles,1.3,1105,2000,3,99,false,0,1006,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Capital One Spark Cash,Capital One,true,Mastercard,1000,USD,,1000,10000,3,95,true,0,1000,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
Citi AAdvantage Globe,Citi,false,Mastercard,90000,American miles,1.5,1350,5000,4,350,false,0,1000,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-18
